method,config,acc_mean,acc_sd,sil,runtime_s
K-Means (k-means++),K=5,42.00736648250461,4.473111017347133,0.22173153022215855,0.0034131844838460284
Gaussian mixture (kmeans),cov=spherical,44.53038674033149,3.8676754660250907,0.20063220610624793,0.0075519720713297525
Gaussian mixture (random_from_data),cov=spherical,44.38305709023941,3.6455812674257158,0.18084878116217293,0.006703758239746093
Agglomerative,linkage=average,24.861878453038674,0.0,0.33389721126622707,0.002040863037109375
DBSCAN,tidak ada konfigurasi valid,,,,
