transform,n_runs,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi
raw,100,93.64772727272728,6.268546653199142,70.96306818181817,97.5
minmax,100,92.48636363636363,5.7083467006886845,70.96306818181817,94.43181818181819
zscore,100,91.61477272727274,4.821893955029364,72.5340909090909,94.43181818181819
rank,100,92.81704545454546,5.399585731969126,69.65056818181817,94.43181818181819
quantile,100,93.4034090909091,3.667700112484406,93.29545454545455,94.43181818181819
