representation,n_seeds,runtime_s,acc_mean,acc_sd,prec_mean,prec_sd,rec_mean,rec_sd,f1_mean,f1_sd,ari_mean,ari_sd,nmi_mean,nmi_sd,sil_mean,sil_sd,db_mean,db_sd,ch_mean,ch_sd,acc_min,acc_max,acc_ci_lo,acc_ci_hi,d
ECDF-7,100,0.68,42.22099447513812,4.189382429698738,46.798106976657145,6.36478041806087,42.22099447513812,4.189382429698738,42.56471082867023,4.6124622200703875,0.12830163466868702,0.027804963145489272,0.20543681156600346,0.02897103834224413,0.22022163641400633,0.018727593012019993,1.3638493550948474,0.059216073552181406,65.27169595760725,2.5913700735665937,34.25414364640884,51.38121546961326,34.25414364640884,49.1988950276243,7
ECDF-9,100,0.67,43.85082872928177,2.934697863614123,49.985631033111076,4.862643670660811,43.85082872928177,2.934697863614123,45.07501701688817,3.438352517666677,0.12927725825873973,0.02168802939022482,0.20439905156298738,0.01960743961887032,0.20941717731559115,0.012587975773271016,1.42890552244601,0.05774844555293414,59.12478750316583,2.9763966886635194,36.46408839779006,50.27624309392266,37.831491712707184,49.72375690607735,9
Colour moments,100,0.67,42.59668508287293,4.7568808313994735,46.83893869445465,6.0828520012966605,42.59668508287293,4.7568808313994735,43.21134353759716,5.082133129247318,0.13548714417420699,0.027327347505665425,0.1959447593509633,0.025689456603197436,0.20787987948471648,0.018164415822691588,1.4154931583935135,0.05305748460080212,59.93470480630873,1.9391158016602654,35.35911602209944,51.93370165745856,35.91160220994475,50.01381215469613,9
RGB histogram 4^3,100,0.68,45.232044198895025,6.777316309367378,49.58105287699884,9.540084662645715,45.232044198895025,6.777316309367378,39.752228971042136,8.120368335666496,0.14672878834039235,0.061439133532750045,0.23715016013901938,0.051454666588859096,0.05834737090879859,0.031497870834127355,2.334060226901558,0.4435369610824416,7.188915152482123,0.6962710316769111,27.624309392265197,60.773480662983424,30.91160220994475,56.933701657458556,64
