representation,n_seeds,runtime_s,acc_mean,acc_sd,prec_mean,prec_sd,rec_mean,rec_sd,f1_mean,f1_sd,ari_mean,ari_sd,nmi_mean,nmi_sd,sil_mean,sil_sd,db_mean,db_sd,ch_mean,ch_sd,acc_min,acc_max,acc_ci_lo,acc_ci_hi
raw,100,0.64,42.22099447513812,4.189382429698738,46.798106976657145,6.36478041806087,42.22099447513812,4.189382429698738,42.56471082867023,4.6124622200703875,0.12830163466868702,0.027804963145489272,0.20543681156600346,0.02897103834224413,0.22022163641400633,0.018727593012019993,1.3638493550948474,0.059216073552181406,65.27169595760725,2.5913700735665937,34.25414364640884,51.38121546961326,34.25414364640884,49.1988950276243
minmax,100,0.71,47.86740331491713,4.058803634301785,50.581377896413734,4.655495464863572,47.86740331491713,4.058803634301785,46.83588970262398,3.7609059831952862,0.16270478818751904,0.02553285317922535,0.23141659610805257,0.024644472821012484,0.2333638516317778,0.03180902438449541,1.357802479260685,0.05785971515380166,58.926625676856055,2.3920942717627387,37.01657458563536,55.80110497237569,40.331491712707184,54.69613259668509
zscore,100,0.68,46.088397790055254,3.9194161693853564,48.09419025463539,4.954972643614969,46.088397790055254,3.9194161693853564,44.82684240341695,3.9641461029283445,0.15276150798637209,0.02613750671333807,0.21665938420677236,0.026338988260982982,0.23219998870374964,0.023644141286239345,1.3222561431211706,0.061154874182361964,58.280313687979096,2.749439071235058,35.35911602209944,54.14364640883977,37.569060773480665,53.32872928176795
rank,100,0.68,43.62430939226519,3.0945205229419943,46.834090067762645,4.6271934575835605,43.62430939226519,3.0945205229419943,43.94007114793203,2.9823334849975978,0.13590747891648544,0.02136182909829563,0.18839247444215715,0.022977417653946543,0.21919349753843856,0.013806317771332483,1.4492546352155509,0.08484797630681921,58.692640152385266,1.5078710093018048,37.01657458563536,50.82872928176796,38.38397790055249,49.46132596685082
quantile,100,0.63,43.530386740331494,2.970868320422023,46.563625236283094,4.380253854778816,43.530386740331494,2.970868320422023,43.780888010543705,2.793185542045405,0.13585474661100277,0.021246501916393004,0.18924017573341043,0.023628195125213233,0.2187234401244599,0.012853405635671776,1.4524889854692908,0.08179681322606451,58.51481289241767,1.5703378224909759,36.46408839779006,50.82872928176796,38.93646408839779,49.171270718232044
