p,acc_mean,acc_sd,acc_max,ari_mean,sil_mean
16,91.29863636363632,7.23484309058977,93.9090909090909,0.8232301304673342,0.7147733437160746
32,90.78227272727268,7.765798992020898,93.9090909090909,0.821141630223011,0.7050806269460187
64,89.41681818181814,9.181524522756742,98.06818181818183,0.8115121396432166,0.7031519140590502
128,92.11363636363636,8.626856687995822,96.86363636363636,0.8567820789998484,0.7064576642186201
