representation,d,acc_mean,acc_sd,acc_min,acc_max,ari_mean,nmi_mean,sil_mean,db_mean,ch_mean
ECDF-7 (diusulkan),7,92.9906818181818,7.341780826968661,70.81818181818181,96.86363636363636,0.8639237485183687,0.8854539146908867,0.7091709106231312,0.5282566181885094,11126.273880514018
ECDF-9 (grid penuh),9,89.84704545454544,11.255113972012836,65.5909090909091,96.86363636363636,0.8402004569929089,0.8844196016579079,0.7064229052413691,0.492390742071508,14585.037620001449
Colour moments,9,75.21090909090908,12.897922537892368,65.63636363636364,96.86363636363636,0.6548024458936723,0.7639765035777547,0.712369727666119,0.44420825453330515,15227.528089482785
RGB histogram 4^3,64,80.02136363636365,13.200302427620718,40.63636363636364,100.0,0.7046711306811275,0.8019955152246058,0.5071653690133,1.078492296507546,1717.644631145234
