transform,n_runs,acc_mean,acc_sd,acc_ci_lo,acc_ci_hi
raw,100,44.68243243243244,5.149122372249677,36.11111111111111,55.55555555555556
minmax,100,49.16141141141141,4.860410831366987,39.67342342342342,57.584459459459445
zscore,100,48.87837837837837,5.242019958903631,39.67342342342342,58.333333333333336
rank,100,46.65465465465465,5.467415536191245,36.11111111111111,56.75675675675676
quantile,100,46.43693693693694,5.7158983902997385,34.65277777777777,56.75675675675676
