method,config,acc_mean,acc_sd,sil,runtime_s
K-Means (k-means++),K=4,93.32575757575756,6.231708295304099,0.7077124717462279,0.24892622629801434
Gaussian mixture (kmeans),cov=full,93.32575757575756,6.231708295304099,0.7077124717462279,0.2605199098587036
Gaussian mixture (random_from_data),cov=spherical,75.70909090909089,12.708831803656153,0.6245423254651943,0.23614899317423502
Agglomerative,linkage=ward,95.8409090909091,0.0,0.7097196452266809,0.19501328468322754
DBSCAN,"eps=0.310, min_samples=50, K ditemukan=4, noise=1.0%",72.77272727272728,0.0,0.6101375872040362,0.09300565719604492
